File_number, mean_delay, mindelay, maxdelay, bit_rate, fileSize
0, 3.8902, 3.89, 3.89, 0.00, 800000
1, 3.5083, 3.51, 3.51, 0.00, 800000
2, 2.5242, 2.52, 2.52, 0.00, 800000
3, 2.5922, 2.59, 2.59, 0.00, 800000
4, 3.3541, 3.35, 3.35, 0.00, 800000
5, 3.2794, 3.28, 3.28, 0.00, 800000
6, 3.2131, 3.21, 3.21, 0.00, 800000
7, 3.9005, 3.90, 3.90, 0.00, 800000
8, 3.1032, 3.10, 3.10, 0.00, 800000
9, 3.3635, 3.36, 3.36, 0.00, 800000
0, 3.7818, 3.78, 3.78, 0.00, 800000
1, 2.5675, 2.57, 2.57, 0.00, 800000
2, 3.3383, 3.34, 3.34, 0.00, 800000
3, 3.6407, 3.64, 3.64, 0.00, 800000
4, 3.2798, 3.28, 3.28, 0.00, 800000
5, 3.7779, 3.78, 3.78, 0.00, 800000
6, 2.9145, 2.91, 2.91, 0.00, 800000
7, 3.1956, 3.20, 3.20, 0.00, 800000
8, 3.4728, 3.47, 3.47, 0.00, 800000
9, 3.6231, 3.62, 3.62, 0.00, 800000
